feature_id,class_id,subclass_id,level_gained,name,summary,action_type,uses,recharge,source,version
CF_FIGHTER_BATTLEMASTER_RELENTLESS,CLS_FIGHTER,SUB_FIGHTER_BATTLEMASTER,15,Relentless,Once per turn, roll 1d8 instead of expending a die.,,,,PHB (2024),2024
CF_FIGHTER_BATTLEMASTER_ULTIMATE_COMBAT_SUPERIORITY,CLS_FIGHTER,SUB_FIGHTER_BATTLEMASTER,18,Ultimate Combat Superiority,Superiority Dice become d12s.,,,,PHB (2024),2024
CF_FIGHTER_ELDRITCH_KNIGHT_SPELLCASTING,CLS_FIGHTER,SUB_FIGHTER_ELDRITCH_KNIGHT,3,Spellcasting,Eldritch Knight spellcasting progression.,,,,PHB (2024),2024
CF_FIGHTER_ELDRITCH_KNIGHT_WAR_BOND,CLS_FIGHTER,SUB_FIGHTER_ELDRITCH_KNIGHT,3,War Bond,Bond with weapons and summon one as a Bonus Action.,,,,PHB (2024),2024
CF_FIGHTER_ELDRITCH_KNIGHT_WAR_MAGIC,CLS_FIGHTER,SUB_FIGHTER_ELDRITCH_KNIGHT,7,War Magic,Replace an attack with a wizard cantrip.,,,,PHB (2024),2024
CF_FIGHTER_ELDRITCH_KNIGHT_ELDRITCH_STRIKE,CLS_FIGHTER,SUB_FIGHTER_ELDRITCH_KNIGHT,10,Eldritch Strike,Weapon hits impose Disadvantage on next save vs your spell.,,,,PHB (2024),2024
CF_FIGHTER_ELDRITCH_KNIGHT_ARCANE_CHARGE,CLS_FIGHTER,SUB_FIGHTER_ELDRITCH_KNIGHT,15,Arcane Charge,Teleport 30 feet when using Action Surge.,,,,PHB (2024),2024
CF_FIGHTER_ELDRITCH_KNIGHT_IMPROVED_WAR_MAGIC,CLS_FIGHTER,SUB_FIGHTER_ELDRITCH_KNIGHT,18,Improved War Magic,Replace two attacks with a level 1-2 wizard spell.,,,,PHB (2024),2024
CF_FIGHTER_PSI_WARRIOR_PSIONIC_POWER,CLS_FIGHTER,SUB_FIGHTER_PSI_WARRIOR,3,Psionic Power,Psionic Energy Dice fuel protective, strike, and movement powers.,,,,PHB (2024),2024
CF_FIGHTER_PSI_WARRIOR_TELEKINETIC_ADEPT,CLS_FIGHTER,SUB_FIGHTER_PSI_WARRIOR,7,Telekinetic Adept,Bonus Action leap and psionic thrust on strikes.,Bonus Action,,,PHB (2024),2024
CF_FIGHTER_PSI_WARRIOR_GUARDED_MIND,CLS_FIGHTER,SUB_FIGHTER_PSI_WARRIOR,10,Guarded Mind,Resistance to Psychic; end Charm/Frighten with a die.,,,,PHB (2024),2024
CF_FIGHTER_PSI_WARRIOR_BULWARK_OF_FORCE,CLS_FIGHTER,SUB_FIGHTER_PSI_WARRIOR,15,Bulwark of Force,Bonus Action grant Half Cover to allies.,Bonus Action,,,PHB (2024),2024
CF_FIGHTER_PSI_WARRIOR_TELEKINETIC_MASTER,CLS_FIGHTER,SUB_FIGHTER_PSI_WARRIOR,18,Telekinetic Master,Always have Telekinesis prepared; free cast and bonus attack.,,,,PHB (2024),2024
CF_RANGER_BEAST_MASTER_PRIMAL_COMPANION,CLS_RANGER,SUB_RANGER_BEAST_MASTER,3,Primal Companion,Summon and command a primal beast companion.,,,,PHB (2024),2024
CF_RANGER_BEAST_MASTER_EXCEPTIONAL_TRAINING,CLS_RANGER,SUB_RANGER_BEAST_MASTER,7,Exceptional Training,Command beast to Dash/Disengage/Dodge/Help; damage type options.,,,,PHB (2024),2024
CF_RANGER_BEAST_MASTER_BESTIAL_FURY,CLS_RANGER,SUB_RANGER_BEAST_MASTER,11,Bestial Fury,Beast's Strike can be used twice; extra damage vs Hunter's Mark.,,,,PHB (2024),2024
CF_RANGER_BEAST_MASTER_SHARE_SPELLS,CLS_RANGER,SUB_RANGER_BEAST_MASTER,15,Share Spells,Self-targeting spells can also affect your companion.,,,,PHB (2024),2024
CF_RANGER_FEY_WANDERER_DREADFUL_STRIKES,CLS_RANGER,SUB_RANGER_FEY_WANDERER,3,Dreadful Strikes,Extra psychic damage once per turn with weapons.,,,,PHB (2024),2024
CF_RANGER_FEY_WANDERER_FEY_WANDERER_SPELLS,CLS_RANGER,SUB_RANGER_FEY_WANDERER,3,Fey Wanderer Spells,Always prepared spells by level.,,,,PHB (2024),2024
CF_RANGER_FEY_WANDERER_OTHERWORLDLY_GLAMOUR,CLS_RANGER,SUB_RANGER_FEY_WANDERER,3,Otherworldly Glamour,Add Wis to Charisma checks; gain a social skill.,,,,PHB (2024),2024
CF_RANGER_FEY_WANDERER_BEGUILING_TWIST,CLS_RANGER,SUB_RANGER_FEY_WANDERER,7,Beguiling Twist,Advantage vs charm/fear; redirect them on saves.,Reaction,,,PHB (2024),2024
CF_RANGER_FEY_WANDERER_FEY_REINFORCEMENTS,CLS_RANGER,SUB_RANGER_FEY_WANDERER,11,Fey Reinforcements,Cast Summon Fey without material; free cast and no concentration option.,,,,PHB (2024),2024
CF_RANGER_FEY_WANDERER_MISTY_WANDERER,CLS_RANGER,SUB_RANGER_FEY_WANDERER,15,Misty Wanderer,Free Misty Step uses and bring an ally.,,,,PHB (2024),2024
CF_RANGER_GLOOM_STALKER_DREAD_AMBUSHER,CLS_RANGER,SUB_RANGER_GLOOM_STALKER,3,Dread Ambusher,Speed boost, psychic strike, and initiative bonus.,,,,PHB (2024),2024
CF_RANGER_GLOOM_STALKER_GLOOM_STALKER_SPELLS,CLS_RANGER,SUB_RANGER_GLOOM_STALKER,3,Gloom Stalker Spells,Always prepared spells by level.,,,,PHB (2024),2024
CF_RANGER_GLOOM_STALKER_UMBRAL_SIGHT,CLS_RANGER,SUB_RANGER_GLOOM_STALKER,3,Umbral Sight,Gain Darkvision and invisibility in darkness vs darkvision.,,,,PHB (2024),2024
CF_RANGER_GLOOM_STALKER_IRON_MIND,CLS_RANGER,SUB_RANGER_GLOOM_STALKER,7,Iron Mind,Gain proficiency in Wisdom saves (or Int/Cha).,,,,PHB (2024),2024
CF_RANGER_GLOOM_STALKER_STALKERS_FLURRY,CLS_RANGER,SUB_RANGER_GLOOM_STALKER,11,Stalker's Flurry,Upgraded Dreadful Strike with added effects.,,,,PHB (2024),2024
CF_RANGER_GLOOM_STALKER_SHADOWY_DODGE,CLS_RANGER,SUB_RANGER_GLOOM_STALKER,15,Shadowy Dodge,Reaction to impose disadvantage and teleport.,Reaction,,,PHB (2024),2024
CF_RANGER_HUNTER_HUNTERS_LORE,CLS_RANGER,SUB_RANGER_HUNTER,3,Hunter's Lore,Learn immunities/resistances/vulnerabilities of marked prey.,,,,PHB (2024),2024
CF_RANGER_HUNTER_HUNTERS_PREY,CLS_RANGER,SUB_RANGER_HUNTER,3,Hunter's Prey,Choose Colossus Slayer or Horde Breaker.,,,,PHB (2024),2024
CF_RANGER_HUNTER_DEFENSIVE_TACTICS,CLS_RANGER,SUB_RANGER_HUNTER,7,Defensive Tactics,Choose Escape the Horde or Multiattack Defense.,,,,PHB (2024),2024
CF_RANGER_HUNTER_SUPERIOR_HUNTERS_PREY,CLS_RANGER,SUB_RANGER_HUNTER,11,Superior Hunter's Prey,Bonus Hunter's Mark damage to a second target.,,,,PHB (2024),2024
CF_RANGER_HUNTER_SUPERIOR_HUNTERS_DEFENSE,CLS_RANGER,SUB_RANGER_HUNTER,15,Superior Hunter's Defense,Reaction to gain resistance to damage taken.,Reaction,,,PHB (2024),2024
CF_MONK_MARTIAL_ARTS,CLS_MONK,,1,Martial Arts,Bonus Unarmed Strike and Martial Arts die scaling.,,,,PHB (2024),2024
CF_MONK_UNARMORED_DEFENSE,CLS_MONK,,1,Unarmored Defense,AC equals 10 plus Dex and Wis modifiers while unarmored.,,,,PHB (2024),2024
CF_MONK_MONKS_FOCUS,CLS_MONK,,2,Monk's Focus,Focus points fuel Flurry/Patient Defense/Step of the Wind.,,,,PHB (2024),2024
CF_MONK_UNARMORED_MOVEMENT,CLS_MONK,,2,Unarmored Movement,Speed bonus while unarmored; increases by level.,,,,PHB (2024),2024
CF_MONK_UNCANNY_METABOLISM,CLS_MONK,,2,Uncanny Metabolism,Regain Focus Points on initiative (1/long rest).,,,,PHB (2024),2024
CF_MONK_DEFLECT_ATTACKS,CLS_MONK,,3,Deflect Attacks,Reaction to reduce damage; can redirect with Focus.,Reaction,,,PHB (2024),2024
CF_MONK_SUBCLASS,CLS_MONK,,3,Monk Subclass,Choose a Monk subclass.,,,,PHB (2024),2024
CF_MONK_ASI,CLS_MONK,,4,Ability Score Improvement,Gain ASI or feat (levels 4,8,12,16).,,,,PHB (2024),2024
CF_MONK_SLOW_FALL,CLS_MONK,,4,Slow Fall,Reaction to reduce falling damage.,Reaction,,,PHB (2024),2024
CF_MONK_EXTRA_ATTACK,CLS_MONK,,5,Extra Attack,Attack twice when you take the Attack action.,,,,PHB (2024),2024
CF_MONK_STUNNING_STRIKE,CLS_MONK,,5,Stunning Strike,Spend Focus to stun or slow a target.,,,,PHB (2024),2024
CF_MONK_EMPOWERED_STRIKES,CLS_MONK,,6,Empowered Strikes,Unarmed Strikes deal force or normal damage.,,,,PHB (2024),2024
CF_MONK_EVASION,CLS_MONK,,7,Evasion,No damage on save success; half on fail.,,,,PHB (2024),2024
CF_MONK_ACROBATIC_MOVEMENT,CLS_MONK,,9,Acrobatic Movement,Move across vertical surfaces and liquids.,,,,PHB (2024),2024
CF_MONK_HEIGHTENED_FOCUS,CLS_MONK,,10,Heightened Focus,Improved Flurry/Patient Defense/Step of the Wind.,,,,PHB (2024),2024
CF_MONK_SELF_RESTORATION,CLS_MONK,,10,Self-Restoration,End Charmed/Frightened/Poisoned; no exhaustion from fasting.,,,,PHB (2024),2024
CF_MONK_DEFLECT_ENERGY,CLS_MONK,,13,Deflect Energy,Deflect Attacks works on any damage type.,,,,PHB (2024),2024
CF_MONK_DISCIPLINED_SURVIVOR,CLS_MONK,,14,Disciplined Survivor,Proficiency in all saves; spend Focus to reroll.,,,,PHB (2024),2024
CF_MONK_PERFECT_FOCUS,CLS_MONK,,15,Perfect Focus,Regain Focus Points on initiative if low.,,,,PHB (2024),2024
CF_MONK_SUPERIOR_DEFENSE,CLS_MONK,,18,Superior Defense,Spend Focus for resistance to most damage.,,,,PHB (2024),2024
CF_MONK_EPIC_BOON,CLS_MONK,,19,Epic Boon,Gain an Epic Boon feat or another feat.,,,,PHB (2024),2024
CF_MONK_BODY_AND_MIND,CLS_MONK,,20,Body and Mind,Dexterity and Wisdom increase by 4 (max 25).,,,,PHB (2024),2024
CF_MONK_OPEN_HAND_TECHNIQUE,CLS_MONK,SUB_MONK_OPEN_HAND,3,Open Hand Technique,Impose Addle/Push/Topple on Flurry hit.,,,,PHB (2024),2024
CF_MONK_OPEN_HAND_WHOLENESS,CLS_MONK,SUB_MONK_OPEN_HAND,6,Wholeness of Body,Bonus action heal with Martial Arts die.,Bonus Action,"Wis mod",Long Rest,PHB (2024),2024
CF_MONK_OPEN_HAND_FLEET_STEP,CLS_MONK,SUB_MONK_OPEN_HAND,11,Fleet Step,Use Step of the Wind after another Bonus Action.,,,,PHB (2024),2024
CF_MONK_OPEN_HAND_QUIVERING_PALM,CLS_MONK,SUB_MONK_OPEN_HAND,17,Quivering Palm,Spend Focus to set lethal vibrations; later burst.,,,,PHB (2024),2024
CF_MONK_MERCY_HAND_OF_HARM,CLS_MONK,SUB_MONK_MERCY,3,Hand of Harm,Spend Focus to deal extra necrotic damage on a hit.,,,,PHB (2024),2024
CF_MONK_MERCY_HAND_OF_HEALING,CLS_MONK,SUB_MONK_MERCY,3,Hand of Healing,Magic action heal; can replace Flurry strike.,Magic Action,,,PHB (2024),2024
CF_MONK_MERCY_IMPLEMENTS_OF_MERCY,CLS_MONK,SUB_MONK_MERCY,3,Implements of Mercy,Gain Insight/Medicine and herbalism kit proficiency.,,,,PHB (2024),2024
CF_MONK_MERCY_PHYSICIANS_TOUCH,CLS_MONK,SUB_MONK_MERCY,6,Physician's Touch,Hand of Harm poisons; Hand of Healing cures conditions.,,,,PHB (2024),2024
CF_MONK_MERCY_FLURRY_OF_HEALING_AND_HARM,CLS_MONK,SUB_MONK_MERCY,11,Flurry of Healing and Harm,Free Hand of Healing/Harm uses with limits.,,,,PHB (2024),2024
CF_MONK_MERCY_HAND_OF_ULTIMATE_MERCY,CLS_MONK,SUB_MONK_MERCY,17,Hand of Ultimate Mercy,Magic action to revive a dead creature with Focus.,Magic Action,,,PHB (2024),2024
CF_MONK_SHADOW_SHADOW_ARTS,CLS_MONK,SUB_MONK_SHADOW,3,Shadow Arts,Gain Darkness, Darkvision, and Minor Illusion options.,,,,PHB (2024),2024
CF_MONK_SHADOW_SHADOW_STEP,CLS_MONK,SUB_MONK_SHADOW,6,Shadow Step,Bonus Action teleport between dim light/darkness.,Bonus Action,,,PHB (2024),2024
CF_MONK_SHADOW_IMPROVED_SHADOW_STEP,CLS_MONK,SUB_MONK_SHADOW,11,Improved Shadow Step,Spend Focus to teleport without light limits.,Bonus Action,,,PHB (2024),2024
CF_MONK_SHADOW_CLOAK_OF_SHADOWS,CLS_MONK,SUB_MONK_SHADOW,17,Cloak of Shadows,Magic action to gain invisibility and shadow benefits.,Magic Action,,,PHB (2024),2024
CF_MONK_ELEMENTS_ELEMENTAL_ATTUNEMENT,CLS_MONK,SUB_MONK_ELEMENTS,3,Elemental Attunement,Spend Focus for reach and elemental strike effects.,,,,PHB (2024),2024
CF_MONK_ELEMENTS_MANIPULATE_ELEMENTS,CLS_MONK,SUB_MONK_ELEMENTS,3,Manipulate Elements,Learn Elementalism cantrip (Wisdom).,,,,PHB (2024),2024
CF_MONK_ELEMENTS_ELEMENTAL_BURST,CLS_MONK,SUB_MONK_ELEMENTS,6,Elemental Burst,Magic action to deal elemental damage in an area.,Magic Action,,,PHB (2024),2024
CF_MONK_ELEMENTS_STRIDE_OF_THE_ELEMENTS,CLS_MONK,SUB_MONK_ELEMENTS,11,Stride of the Elements,Fly and swim speeds while attuned.,,,,PHB (2024),2024
CF_MONK_ELEMENTS_ELEMENTAL_EPITOME,CLS_MONK,SUB_MONK_ELEMENTS,17,Elemental Epitome,Resistance and empowered stride/strikes while attuned.,,,,PHB (2024),2024
CF_PALADIN_LAY_ON_HANDS,CLS_PALADIN,,1,Lay On Hands,Pool heals 5 x paladin level; remove Poisoned.,Bonus Action,,,PHB (2024),2024
CF_PALADIN_SPELLCASTING,CLS_PALADIN,,1,Spellcasting,Paladin spellcasting and prepared spells.,,,,PHB (2024),2024
CF_PALADIN_WEAPON_MASTERY,CLS_PALADIN,,1,Weapon Mastery,Use mastery properties of two weapons of choice.,,,,PHB (2024),2024
CF_PALADIN_FIGHTING_STYLE,CLS_PALADIN,,2,Fighting Style,Gain a Fighting Style feat or Blessed Warrior option.,,,,PHB (2024),2024
CF_PALADIN_SMITE,CLS_PALADIN,,2,Paladin's Smite,Always have Divine Smite prepared; free cast 1/long rest.,,,,PHB (2024),2024
CF_PALADIN_CHANNEL_DIVINITY,CLS_PALADIN,,3,Channel Divinity,Divine Sense and other options; uses scale.,,,,PHB (2024),2024
CF_PALADIN_SUBCLASS,CLS_PALADIN,,3,Paladin Subclass,Choose a Paladin subclass.,,,,PHB (2024),2024
CF_PALADIN_ASI,CLS_PALADIN,,4,Ability Score Improvement,Gain ASI or feat (levels 4,8,12,16).,,,,PHB (2024),2024
CF_PALADIN_EXTRA_ATTACK,CLS_PALADIN,,5,Extra Attack,Attack twice when you take the Attack action.,,,,PHB (2024),2024
CF_PALADIN_FAITHFUL_STEED,CLS_PALADIN,,5,Faithful Steed,Always have Find Steed prepared; free cast 1/long rest.,,,,PHB (2024),2024
CF_PALADIN_AURA_OF_PROTECTION,CLS_PALADIN,,6,Aura of Protection,Allies gain bonus to saves in 10-foot emanation.,,,,PHB (2024),2024
CF_PALADIN_ABJURE_FOES,CLS_PALADIN,,9,Abjure Foes,Channel Divinity to frighten multiple foes.,Magic Action,,,PHB (2024),2024
CF_PALADIN_AURA_OF_COURAGE,CLS_PALADIN,,10,Aura of Courage,Allies immune to Frightened in Aura of Protection.,,,,PHB (2024),2024
CF_PALADIN_RADIANT_STRIKES,CLS_PALADIN,,11,Radiant Strikes,Extra 1d8 Radiant damage on melee hit.,,,,PHB (2024),2024
CF_PALADIN_RESTORING_TOUCH,CLS_PALADIN,,14,Restoring Touch,Remove conditions via Lay On Hands (5 HP each).,,,,PHB (2024),2024
CF_PALADIN_AURA_EXPANSION,CLS_PALADIN,,18,Aura Expansion,Aura of Protection expands to 30-foot emanation.,,,,PHB (2024),2024
CF_PALADIN_EPIC_BOON,CLS_PALADIN,,19,Epic Boon,Gain an Epic Boon feat or another feat.,,,,PHB (2024),2024
CF_PALADIN_DEVOTION_SACRED_WEAPON,CLS_PALADIN,SUB_PALADIN_DEVOTION,3,Sacred Weapon,Channel Divinity to add Cha to attack; radiant option.,,,,PHB (2024),2024
CF_PALADIN_DEVOTION_AURA_OF_DEVOTION,CLS_PALADIN,SUB_PALADIN_DEVOTION,7,Aura of Devotion,Allies immune to Charmed in Aura of Protection.,,,,PHB (2024),2024
CF_PALADIN_DEVOTION_SMITE_OF_PROTECTION,CLS_PALADIN,SUB_PALADIN_DEVOTION,15,Smite of Protection,Divine Smite grants allies Half Cover in aura.,,,,PHB (2024),2024
CF_PALADIN_DEVOTION_HOLY_NIMBUS,CLS_PALADIN,SUB_PALADIN_DEVOTION,20,Holy Nimbus,Activate holy aura with warding and damage.,Bonus Action,,,PHB (2024),2024
CF_PALADIN_GLORY_INSPIRING_SMITE,CLS_PALADIN,SUB_PALADIN_GLORY,3,Inspiring Smite,Channel Divinity to grant Temp HP after Divine Smite.,,,,PHB (2024),2024
CF_PALADIN_GLORY_PEERLESS_ATHLETE,CLS_PALADIN,SUB_PALADIN_GLORY,3,Peerless Athlete,Channel Divinity to boost Athletics/Acrobatics and jumps.,Bonus Action,,,PHB (2024),2024
CF_PALADIN_GLORY_AURA_OF_ALACRITY,CLS_PALADIN,SUB_PALADIN_GLORY,7,Aura of Alacrity,Speed +10; allies gain +10 when in Aura of Protection.,,,,PHB (2024),2024
CF_PALADIN_GLORY_GLORIOUS_DEFENSE,CLS_PALADIN,SUB_PALADIN_GLORY,15,Glorious Defense,Reaction to boost AC and counterattack if it misses.,Reaction,,,PHB (2024),2024
CF_PALADIN_GLORY_LIVING_LEGEND,CLS_PALADIN,SUB_PALADIN_GLORY,20,Living Legend,Empower yourself with heroic legend benefits.,Bonus Action,,,PHB (2024),2024
CF_PALADIN_ANCIENTS_NATURES_WRATH,CLS_PALADIN,SUB_PALADIN_ANCIENTS,3,Nature's Wrath,Channel Divinity to restrain foes with spectral vines.,Magic Action,,,PHB (2024),2024
CF_PALADIN_ANCIENTS_AURA_OF_WARDING,CLS_PALADIN,SUB_PALADIN_ANCIENTS,7,Aura of Warding,Allies resist Necrotic, Psychic, and Radiant in aura.,,,,PHB (2024),2024
CF_PALADIN_ANCIENTS_UNDYING_SENTINEL,CLS_PALADIN,SUB_PALADIN_ANCIENTS,15,Undying Sentinel,Drop to 1 HP instead of 0 and heal; no magical aging.,,,,PHB (2024),2024
CF_PALADIN_ANCIENTS_ELDER_CHAMPION,CLS_PALADIN,SUB_PALADIN_ANCIENTS,20,Elder Champion,Primal aura grants debuff, regen, and swift spells.,Bonus Action,,,PHB (2024),2024
CF_PALADIN_VENGEANCE_VOW_OF_ENMITY,CLS_PALADIN,SUB_PALADIN_VENGEANCE,3,Vow of Enmity,Channel Divinity to gain advantage vs a foe.,,,,PHB (2024),2024
CF_PALADIN_VENGEANCE_RELENTLESS_AVENGER,CLS_PALADIN,SUB_PALADIN_VENGEANCE,7,Relentless Avenger,Opportunity attack can halt foe and move half speed.,,,,PHB (2024),2024
CF_PALADIN_VENGEANCE_SOUL_OF_VENGEANCE,CLS_PALADIN,SUB_PALADIN_VENGEANCE,15,Soul of Vengeance,Reaction attack after target of Vow attacks.,Reaction,,,PHB (2024),2024
CF_PALADIN_VENGEANCE_AVENGING_ANGEL,CLS_PALADIN,SUB_PALADIN_VENGEANCE,20,Avenging Angel,Gain flight and frightful aura.,Bonus Action,,,PHB (2024),2024
CF_RANGER_SPELLCASTING,CLS_RANGER,,1,Spellcasting,Ranger spellcasting and prepared spells.,,,,PHB (2024),2024
CF_RANGER_FAVORED_ENEMY,CLS_RANGER,,1,Favored Enemy,Hunter's Mark prepared; free casts scale by level.,,,,PHB (2024),2024
CF_RANGER_WEAPON_MASTERY,CLS_RANGER,,1,Weapon Mastery,Use mastery properties of two weapons of choice.,,,,PHB (2024),2024
CF_RANGER_DEFT_EXPLORER,CLS_RANGER,,2,Deft Explorer,Gain Expertise in one skill and two languages.,,,,PHB (2024),2024
CF_RANGER_FIGHTING_STYLE,CLS_RANGER,,2,Fighting Style,Gain Fighting Style feat or Druidic Warrior option.,,,,PHB (2024),2024
CF_RANGER_SUBCLASS,CLS_RANGER,,3,Ranger Subclass,Choose a Ranger subclass.,,,,PHB (2024),2024
CF_RANGER_ASI,CLS_RANGER,,4,Ability Score Improvement,Gain ASI or feat (levels 4,8,12,16).,,,,PHB (2024),2024
CF_RANGER_EXTRA_ATTACK,CLS_RANGER,,5,Extra Attack,Attack twice when you take the Attack action.,,,,PHB (2024),2024
CF_RANGER_ROVING,CLS_RANGER,,6,Roving,Speed +10; gain climb and swim speeds.,,,,PHB (2024),2024
CF_RANGER_EXPERTISE,CLS_RANGER,,9,Expertise,Gain Expertise in two skills you lack it in.,,,,PHB (2024),2024
CF_RANGER_TIRELESS,CLS_RANGER,,10,Tireless,Gain temp HP; reduce exhaustion on short rest.,Magic Action,"Wis mod",Long Rest,PHB (2024),2024
CF_RANGER_RELENTLESS_HUNTER,CLS_RANGER,,13,Relentless Hunter,Damage can't break concentration on Hunter's Mark.,,,,PHB (2024),2024
CF_RANGER_NATURES_VEIL,CLS_RANGER,,14,Nature's Veil,Bonus action to become Invisible until next turn.,Bonus Action,"Wis mod",Long Rest,PHB (2024),2024
CF_RANGER_PRECISE_HUNTER,CLS_RANGER,,17,Precise Hunter,Advantage on attacks vs Hunter's Marked target.,,,,PHB (2024),2024
CF_RANGER_FERAL_SENSES,CLS_RANGER,,18,Feral Senses,Blindsight 30 feet.,,,,PHB (2024),2024
CF_RANGER_EPIC_BOON,CLS_RANGER,,19,Epic Boon,Gain an Epic Boon feat or another feat.,,,,PHB (2024),2024
CF_RANGER_FOE_SLAYER,CLS_RANGER,,20,Foe Slayer,Hunter's Mark damage die becomes d10.,,,,PHB (2024),2024
CF_RANGER_HUNTER_LORE,CLS_RANGER,SUB_RANGER_HUNTER,3,Hunter's Lore,Learn immunities/resistances/vulnerabilities of marked target.,,,,PHB (2024),2024
CF_RANGER_HUNTERS_PREY,CLS_RANGER,SUB_RANGER_HUNTER,3,Hunter's Prey,Choose Colossus Slayer or Horde Breaker.,,,,PHB (2024),2024
CF_RANGER_DEFENSIVE_TACTICS,CLS_RANGER,SUB_RANGER_HUNTER,7,Defensive Tactics,Choose a defensive option; swap on rest.,,,,PHB (2024),2024
CF_RANGER_SUPERIOR_HUNTERS_PREY,CLS_RANGER,SUB_RANGER_HUNTER,11,Superior Hunter's Prey,Extra Hunter's Mark damage to another target.,,,,PHB (2024),2024
CF_RANGER_SUPERIOR_HUNTERS_DEFENSE,CLS_RANGER,SUB_RANGER_HUNTER,15,Superior Hunter's Defense,Reaction to gain resistance to damage type.,Reaction,,,PHB (2024),2024
CF_ROGUE_EXPERTISE,CLS_ROGUE,,1,Expertise,Double proficiency on two chosen skills.,,,,PHB (2024),2024
CF_ROGUE_SNEAK_ATTACK,CLS_ROGUE,,1,Sneak Attack,Extra damage once per turn with finesse or ranged attack.,,,,PHB (2024),2024
CF_ROGUE_THIEVES_CANT,CLS_ROGUE,,1,Thieves' Cant,Learn thieves' cant and one other language.,,,,PHB (2024),2024
CF_ROGUE_WEAPON_MASTERY,CLS_ROGUE,,1,Weapon Mastery,Use mastery properties of two weapons.,,,,PHB (2024),2024
CF_ROGUE_CUNNING_ACTION,CLS_ROGUE,,2,Cunning Action,Bonus Action to Dash Disengage or Hide.,Bonus Action,,,PHB (2024),2024
CF_ROGUE_SUBCLASS,CLS_ROGUE,,3,Rogue Subclass,Choose a Rogue subclass.,,,,PHB (2024),2024
CF_ROGUE_STEADY_AIM,CLS_ROGUE,,3,Steady Aim,Bonus Action to gain Advantage with no movement.,Bonus Action,,,PHB (2024),2024
CF_ROGUE_ABILITY_SCORE_IMPROVEMENT,CLS_ROGUE,,4,Ability Score Improvement,Gain ASI or feat (levels 4,8,10,12,16).,,,,PHB (2024),2024
CF_ROGUE_CUNNING_STRIKE,CLS_ROGUE,,5,Cunning Strike,Spend Sneak Attack dice for added effects.,,,,PHB (2024),2024
CF_ROGUE_UNCANNY_DODGE,CLS_ROGUE,,5,Uncanny Dodge,Reaction to halve damage from a hit.,Reaction,,,PHB (2024),2024
CF_ROGUE_EXPERTISE_2,CLS_ROGUE,,6,Expertise,Gain Expertise in two more skills.,,,,PHB (2024),2024
CF_ROGUE_EVASION,CLS_ROGUE,,7,Evasion,Take no damage on successful Dexterity saves.,,,,PHB (2024),2024
CF_ROGUE_RELIABLE_TALENT,CLS_ROGUE,,7,Reliable Talent,Treat d20 rolls of 9 or lower as 10 on proficient checks.,,,,PHB (2024),2024
CF_ROGUE_IMPROVED_CUNNING_STRIKE,CLS_ROGUE,,11,Improved Cunning Strike,Use up to two Cunning Strike effects.,,,,PHB (2024),2024
CF_ROGUE_DEVIOUS_STRIKES,CLS_ROGUE,,14,Devious Strikes,Adds Daze Knock Out or Obscure options.,,,,PHB (2024),2024
CF_ROGUE_SLIPPERY_MIND,CLS_ROGUE,,15,Slippery Mind,Gain proficiency in Wisdom and Charisma saves.,,,,PHB (2024),2024
CF_ROGUE_ELUSIVE,CLS_ROGUE,,18,Elusive,Attackers cannot gain Advantage against you.,,,,PHB (2024),2024
CF_ROGUE_EPIC_BOON,CLS_ROGUE,,19,Epic Boon,Gain an Epic Boon feat.,,,,PHB (2024),2024
CF_ROGUE_STROKE_OF_LUCK,CLS_ROGUE,,20,Stroke of Luck,Turn a failed d20 test into a 20 once per rest.,,,,PHB (2024),2024
CF_ROGUE_THIEF_FAST_HANDS,CLS_ROGUE,SUB_ROGUE_THIEF,3,Fast Hands,Bonus Action Sleight of Hand or Use an Object.,Bonus Action,,,PHB (2024),2024
CF_ROGUE_THIEF_SECOND_STORY_WORK,CLS_ROGUE,SUB_ROGUE_THIEF,3,Second-Story Work,Gain climb speed and dex based jumping.,,,,PHB (2024),2024
CF_ROGUE_THIEF_SUPREME_SNEAK,CLS_ROGUE,SUB_ROGUE_THIEF,9,Supreme Sneak,Stealth Attack option keeps invisibility.,,,,PHB (2024),2024
CF_ROGUE_THIEF_USE_MAGIC_DEVICE,CLS_ROGUE,SUB_ROGUE_THIEF,13,Use Magic Device,Attune extra items and use scrolls.,,,,PHB (2024),2024
CF_ROGUE_THIEF_REFLEXES,CLS_ROGUE,SUB_ROGUE_THIEF,17,Thief's Reflexes,Take two turns in the first round.,,,,PHB (2024),2024
CF_ROGUE_ARCANE_TRICKSTER_SPELLCASTING,CLS_ROGUE,SUB_ROGUE_ARCANE_TRICKSTER,3,Spellcasting,Arcane Trickster spellcasting progression.,,,,PHB (2024),2024
CF_ROGUE_ARCANE_TRICKSTER_MAGE_HAND_LEGERDEMAIN,CLS_ROGUE,SUB_ROGUE_ARCANE_TRICKSTER,3,Mage Hand Legerdemain,Bonus Action Mage Hand and invisible hand tricks.,Bonus Action,,,PHB (2024),2024
CF_ROGUE_ARCANE_TRICKSTER_MAGICAL_AMBUSH,CLS_ROGUE,SUB_ROGUE_ARCANE_TRICKSTER,9,Magical Ambush,Invisible casting imposes disadvantage on saves.,,,,PHB (2024),2024
