name,level,school,casting_time,range,components,duration,description
Goodberry,1st,Conjuration,1 Action,Self,"V, S, M",24 Hours,"1st 1 Action Self V, S, M * 24 Hours Conjuration None Healing Ten berries appear in your hand and are infused with magic for the duration. A creature can take a Bonus Action to eat one berry. Eating a berry restores 1 Hit Point, and the berry provides enough nourishment to sustain a creature for one day. Uneaten berries disappear when the spell ends. * - (a sprig of mistletoe)"
Grasping Vine,4th,Concentration,"Conjuration • V, S",1 Minute,,1 Bonus Action,"Melee Bludgeoning 4th 1 Bonus Action 60 ft. V, S Concentration 1 Minute Conjuration Melee Bludgeoning You conjure a vine that sprouts from a surface in an unoccupied space that you can see within range. The vine lasts for the duration. Make a melee spell attack against a creature within 30 feet of the vine. On a hit, the target takes 4d8 Bludgeoning damage and is pulled up to 30 feet toward the vine; if the target is Huge or smaller, it has the Grappled condition (escape DC equal to your spell save DC). The vine can grapple only one creature at a time, and you can cause the vine to release a Grappled creature (no action required). As a Bonus Action on your later turns, you can repeat the attack against a creature within 30 feet of the vine. Using a Higher-Level Spell Slot. The number of creatures the vine can grapple increases by one for each spell slot level above 4."
Grease,1st,Conjuration,1 Action,60 ft.,"V, S, M",1 Minute,"DEX Save Prone 1st 1 Action 60 ft. (10 ft. ) V, S, M * 1 Minute Conjuration DEX Save Prone Nonflammable grease covers the ground in a 10-foot square centered on a point within range and turns it into Difficult Terrain for the duration. When the grease appears, each creature standing in its area must succeed on a Dexterity saving throw or have the Prone condition. A creature that enters the area or ends its turn there must also succeed on that save or fall Prone. * - (a bit of pork rind or butter)"
Greater Invisibility,4th,Concentration,"Illusion • V, S",1 Minute,,1 Action,"Invisible 4th 1 Action Touch V, S Concentration 1 Minute Illusion None Invisible A creature you touch has the Invisible condition until the spell ends."
Greater Restoration,5th,Abjuration,1 Action,Touch,"V, S, M",Instantaneous,"5th 1 Action Touch V, S, M * Instantaneous Abjuration None Exhaustion You touch a creature and magically remove one of the following effects from it: 1 Exhaustion level The Charmed or Petrified condition A curse, including the target’s Attunement to a cursed magic item Any reduction to one of the target’s ability scores Any reduction to the target’s Hit Point maximum * - (diamond dust worth 100+ GP, which the spell consumes)"
Guardian of Faith,4th,Conjuration,1 Action,30 ft.,V,8 Hours,"Radiant 4th 1 Action 30 ft. V 8 Hours Conjuration DEX Save Radiant A Large spectral guardian appears and hovers for the duration in an unoccupied space that you can see within range. The guardian occupies that space and is invulnerable, and it appears in a form appropriate for your deity or pantheon. Any enemy that moves to a space within 10 feet of the guardian for the first time on a turn or starts its turn there makes a Dexterity saving throw, taking 20 Radiant damage on a failed save or half as much damage on a successful one. The guardian vanishes when it has dealt a total of 60 damage."
Guards and Wards,6th,Abjuration,1 Hour,Touch,"V, S, M",24 Hours,"Control (...) 6th 1 Hour Touch (2,500 ft.2) V, S, M * 24 Hours Abjuration None Control (...) You create a ward that protects up to 2,500 square feet of floor space. The warded area can be up to 20 feet tall, and you shape it as one 50-foot square, one hundred 5-foot squares that are contiguous, or twenty-five 10-foot squares that are contiguous. When you cast this spell, you can specify individuals that are unaffected by the spell’s effects. You can also specify a password that, when spoken aloud within 5 feet of the warded area, makes the speaker immune to its effects. The spell creates the effects below within the warded area. Dispel Magic has no effect on Guards and Wards itself, but each of the following effects can be dispelled. If all four are dispelled, Guards and Wards ends. If you cast the spell every day for 365 days on the same area, the spell thereafter lasts until all its effects are dispelled. Corridors. Fog fills all the warded corridors, making them Heavily Obscured. In addition, at each intersection or branching passage offering a choice of direction, there is a 50 percent chance that a creature other than you believes it is going in the opposite direction from the one it chooses. Doors. All doors in the warded area are magically locked, as if sealed by the Arcane Lock spell. In addition, you can cover up to ten doors with an illusion to make them appear as plain sections of wall. Stairs. Webs fill all stairs in the warded area from top to bottom, as in the Web spell. These strands regrow in 10 minutes if they are destroyed while Guards and Wards lasts. Other Spell Effect. Place one of the following magical effects within the warded area: Dancing Lights in four corridors, with a simple program that the lights repeat as long as Guards and Wards lasts Magic Mouth in two locations Stinking Cloud in two locations (the vapors return within 10 minutes if dispersed while Guards and Wards lasts) Gust of Wind in one corridor or room (the wind blows continuously while the spell lasts) Suggestion in one 5-foot square; any creature that enters that square receives the suggestion mentally * - (a silver rod worth 10+ GP)"
Guidance,Cantrip,Concentration,"Divination • V, S",1 Minute,,1 Action,"Buff Cantrip 1 Action Touch V, S Concentration 1 Minute Divination None Buff You touch a willing creature and choose a skill. Until the spell ends, the creature adds 1d4 to any ability check using the chosen skill."
Guiding Bolt,1st,Evocation,1 Action,120 ft.,"V, S",1 Round,"Radiant 1st 1 Action 120 ft. V, S 1 Round Evocation Ranged Radiant You hurl a bolt of light toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 4d6 Radiant damage, and the next attack roll made against it before the end of your next turn has Advantage. Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1."
Gust of Wind,2nd,Concentration,"Evocation • V, S, M",1 Minute,,1 Action,"STR Save Control 2nd 1 Action Self V, S, M * Concentration 1 Minute Evocation STR Save Control A Line of strong wind 60 feet long and 10 feet wide blasts from you in a direction you choose for the duration. Each creature in the Line must succeed on a Strength saving throw or be pushed 15 feet away from you in a direction following the Line. A creature that ends its turn in the Line must make the same save. Any creature in the Line must spend 2 feet of movement for every 1 foot it moves when moving closer to you. The gust disperses gas or vapor, and it extinguishes candles and similar unprotected flames in the area. It causes protected flames, such as those of lanterns, to dance wildly and has a 50 percent chance to extinguish them. As a Bonus Action on your later turns, you can change the direction in which the Line blasts from you. * - (a legume seed)"
Hail of Thorns,1st,Conjuration,1 Bonus Action *,Self,V,Instantaneous,"Piercing 1st 1 Bonus Action * Self V Instantaneous Conjuration DEX Save Piercing As you hit the creature, this spell creates a rain of thorns that sprouts from your Ranged weapon or ammunition. The target of the attack and each creature within 5 feet of it make a Dexterity saving throw, taking 1d10 Piercing damage on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1. * - which you take immediately after hitting a creature with a Ranged weapon"
Hallow,5th,Abjuration,24 Hours,Touch,"V, S, M",Until Dispelled,"5th 24 Hours Touch V, S, M * Until Dispelled Abjuration None Buff (...) You touch a point and infuse an area around it with holy or unholy power. The area can have a radius up to 60 feet, and the spell fails if the radius includes an area already under the effect of Hallow. The affected area has the following effects. Hallowed Ward. Choose any of these creature types: Aberration, Celestial, Elemental, Fey, Fiend, or Undead. Creatures of the chosen types can’t willingly enter the area, and any creature that is possessed by or that has the Charmed or Frightened condition from such creatures isn’t possessed, Charmed, or Frightened by them while in the area. Extra Effect. You bind an extra effect to the area from the list below: Courage. Creatures of any types you choose can’t gain the Frightened condition while in the area. Darkness. Darkness fills the area. Normal light, as well as magical light created by spells of a level lower than this spell, can’t illuminate the area. Daylight. Bright light fills the area. Magical Darkness created by spells of a level lower than this spell can’t extinguish the light. Peaceful Rest. Dead bodies interred in the area can’t be turned into Undead. Extradimensional Interference. Creatures of any types you choose can’t enter or exit the area using teleportation or interplanar travel. Fear. Creatures of any types you choose have the Frightened condition while in the area. Resistance. Creatures of any types you choose have Resistance to one damage type of your choice while in the area. Silence. No sound can emanate from within the area, and no sound can reach into it. Tongues. Creatures of any types you choose can communicate with any other creature in the area even if they don’t share a common language. Vulnerability. Creatures of any types you choose have Vulnerability to one damage type of your choice while in the area. * - (incense worth 1,000+ GP, which the spell consumes)"
Hallucinatory Terrain,4th,Illusion,10 Minutes,300 ft.,"V, S, M",24 Hours,"Control 4th 10 Minutes 300 ft. (150 ft. ) V, S, M * 24 Hours Illusion None Control You make natural terrain in a 150-foot Cube in range look, sound, and smell like another sort of natural terrain. Thus, open fields or a road can be made to resemble a swamp, hill, crevasse, or some other difficult or impassable terrain. A pond can be made to seem like a grassy meadow, a precipice like a gentle slope, or a rock-strewn gully like a wide and smooth road. Manufactured structures, equipment, and creatures within the area aren’t changed. The tactile characteristics of the terrain are unchanged, so creatures entering the area are likely to notice the illusion. If the difference isn’t obvious by touch, a creature examining the illusion can take the Study action to make an Intelligence (Investigation) check against your spell save DC to disbelieve it. If a creature discerns that the terrain is illusory, the creature sees a vague image superimposed on the real terrain. * - (a mushroom)"
Harm,6th,Necromancy,1 Action,60 ft.,"V, S",Instantaneous,"Necrotic 6th 1 Action 60 ft. V, S Instantaneous Necromancy CON Save Necrotic You unleash virulent magic on a creature you can see within range. The target makes a Constitution saving throw. On a failed save, it takes 14d6 Necrotic damage, and its Hit Point maximum is reduced by an amount equal to the Necrotic damage it took. On a successful save, it takes half as much damage only. This spell can’t reduce a target’s Hit Point maximum below 1."
Haste,3rd,Concentration,"Transmutation • V, S, M",1 Minute,,1 Action,"Buff 3rd 1 Action 30 ft. V, S, M * Concentration 1 Minute Transmutation None Buff Choose a willing creature that you can see within range. Until the spell ends, the target’s Speed is doubled, it gains a +2 bonus to Armor Class, it has Advantage on Dexterity saving throws, and it gains an additional action on each of its turns. That action can be used to take only the Attack (one attack only), Dash, Disengage, Hide, or Utilize action. When the spell ends, the target is Incapacitated and has a Speed of 0 until the end of its next turn, as a wave of lethargy washes over it. * - (a shaving of licorice root)"
Heal,6th,Abjuration,1 Action,60 ft.,"V, S",Instantaneous,"6th 1 Action 60 ft. V, S Instantaneous Abjuration None Blinded (...) Choose a creature that you can see within range. Positive energy washes through the target, restoring 70 Hit Points. This spell also ends the Blinded, Deafened, and Poisoned conditions on the target. Using a Higher-Level Spell Slot. The healing increases by 10 for each spell slot level above 6."
Healing Word,1st,Abjuration,1 Bonus Action,60 ft.,V,Instantaneous,1st 1 Bonus Action 60 ft. V Instantaneous Abjuration None Healing A creature of your choice that you can see within range regains Hit Points equal to 2d4 plus your spellcasting ability modifier. Using a Higher-Level Spell Slot. The healing increases by 2d4 for each spell slot level above 1.
Heat Metal,2nd,Concentration,"Transmutation • V, S, M",1 Minute,,1 Action,"CON Save Fire 2nd 1 Action 60 ft. V, S, M * Concentration 1 Minute Transmutation CON Save Fire Choose a manufactured metal object, such as a metal weapon or a suit of Heavy or Medium metal armor, that you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 Fire damage when you cast the spell. Until the spell ends, you can take a Bonus Action on each of your later turns to deal this damage again if the object is within range. If a creature is holding or wearing the object and takes the damage from it, the creature must succeed on a Constitution saving throw or drop the object if it can. If it doesn’t drop the object, it has Disadvantage on attack rolls and ability checks until the start of your next turn. Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2. * - (a piece of iron and a flame)"
Hellish Rebuke,1st,Evocation,1 Reaction *,60 ft.,"V, S",Instantaneous,"Fire 1st 1 Reaction * 60 ft. V, S Instantaneous Evocation DEX Save Fire The creature that damaged you is momentarily surrounded by green flames. It makes a Dexterity saving throw, taking 2d10 Fire damage on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1. * - which you take in response to taking damage from a creature that you can see within 60 feet of yourself"
Heroes' Feast,6th,Conjuration,10 Minutes,Self,"V, S, M",Instantaneous,"Poisoned (...) 6th 10 Minutes Self (10 ft. ) V, S, M * Instantaneous Conjuration None Poisoned (...) You conjure a feast that appears on a surface in an unoccupied 10-foot Cube next to you. The feast takes 1 hour to consume and disappears at the end of that time, and the beneficial effects don’t set in until this hour is over. Up to twelve creatures can partake of the feast. A creature that partakes gains several benefits, which last for 24 hours. The creature has Resistance to Poison damage, and it has Immunity to the Frightened and Poisoned conditions. Its Hit Point maximum also increases by 2d10, and it gains the same number of Hit Points. * - (a gem-encrusted bowl worth 1,000+ GP, which the spell consumes)"
Heroism,1st,Concentration,"Enchantment • V, S",1 Minute,,1 Action,"Frightened 1st 1 Action Touch V, S Concentration 1 Minute Enchantment None Frightened A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to the Frightened condition and gains Temporary Hit Points equal to your spellcasting ability modifier at the start of each of its turns. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
Hex,1st,Concentration,"Enchantment • V, S, M",1 Hour,,1 Bonus Action,"Necrotic 1st 1 Bonus Action 90 ft. V, S, M * Concentration 1 Hour Enchantment None Necrotic You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra 1d6 Necrotic damage to the target whenever you hit it with an attack roll. Also, choose one ability when you cast the spell. The target has Disadvantage on ability checks made with the chosen ability. If the target drops to 0 Hit Points before this spell ends, you can take a Bonus Action on a later turn to curse a new creature. Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 2 (up to 4 hours), 3–4 (up to 8 hours), or 5+ (24 hours). * - (the petrified eye of a newt)"
Hold Monster,5th,Concentration,"Enchantment • V, S, M",1 Minute,,1 Action,"WIS Save Paralyzed 5th 1 Action 90 ft. V, S, M * Concentration 1 Minute Enchantment WIS Save Paralyzed Choose a creature that you can see within range. The target must succeed on a Wisdom saving throw or have the Paralyzed condition for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 5. * - (a straight piece of iron)"
Hold Person,2nd,Concentration,"Enchantment • V, S, M",1 Minute,,1 Action,"WIS Save Paralyzed 2nd 1 Action 60 ft. V, S, M * Concentration 1 Minute Enchantment WIS Save Paralyzed Choose a Humanoid that you can see within range. The target must succeed on a Wisdom saving throw or have the Paralyzed condition for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success. Using a Higher-Level Spell Slot. You can target one additional Humanoid for each spell slot level above 2. * - (a straight piece of iron)"
Holy Aura,8th,Concentration,"Abjuration • V, S, M",1 Minute,,1 Action,"(30 ft. ) CON Save Blinded 8th 1 Action Self (30 ft. ) V, S, M * Concentration 1 Minute Abjuration CON Save Blinded For the duration, you emit an aura in a 30-foot Emanation. While in the aura, creatures of your choice have Advantage on all saving throws, and other creatures have Disadvantage on attack rolls against them. In addition, when a Fiend or an Undead hits an affected creature with a melee attack roll, the attacker must succeed on a Constitution saving throw or have the Blinded condition until the end of its next turn. * - (a reliquary worth 1,000+ GP)"
Hunger of Hadar,3rd,Concentration,"Conjuration • V, S, M",1 Minute,,1 Action,"(20 ft.  *) DEX Save Cold (...) 3rd 1 Action 150 ft. (20 ft.  *) V, S, M * Concentration 1 Minute Conjuration DEX Save Cold (...) You open a gateway to the Far Realm, a region infested with unspeakable horrors. A 20-foot-radius Sphere of Darkness appears, centered on a point with range and lasting for the duration. The Sphere is Difficult Terrain, and it is filled with strange whispers and slurping noises, which can be heard up to 30 feet away. No light, magical or otherwise, can illuminate the area, and creatures fully within it have the Blinded condition. Any creature that starts its turn in the area takes 2d6 Cold damage. Any creature that ends its turn there must succeed on a Dexterity saving throw or take 2d6 Acid damage from otherworldly tentacles. Using a Higher-Level Spell Slot. The Cold or Acid damage (your choice) increases by 1d6 for each spell slot level above 3. * - (a pickled tentacle)"
Hunter's Mark,1st,Concentration,Divination • V,1 Hour,,1 Bonus Action,"Force 1st 1 Bonus Action 90 ft. V Concentration 1 Hour Divination None Force You magically mark one creature you can see within range as your quarry. Until the spell ends, you deal an extra 1d6 Force damage to the target whenever you hit it with an attack roll. You also have Advantage on any Wisdom (Perception or Survival) check you make to find it. If the target drops to 0 Hit Points before this spell ends, you can take a Bonus Action to move the mark to a new creature you can see within range. Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 3–4 (up to 8 hours) or 5+ (up to 24 hours)."
Hypnotic Pattern,3rd,Concentration,"Illusion • S, M",1 Minute,,1 Action,"(30 ft. ) WIS Save Charmed (...) 3rd 1 Action 120 ft. (30 ft. ) S, M * Concentration 1 Minute Illusion WIS Save Charmed (...) You create a twisting pattern of colors in a 30-foot Cube within range. The pattern appears for a moment and vanishes. Each creature in the area who can see the pattern must succeed on a Wisdom saving throw or have the Charmed condition for the duration. While Charmed, the creature has the Incapacitated condition and a Speed of 0. The spell ends for an affected creature if it takes any damage or if someone else uses an action to shake the creature out of its stupor. * - (a pinch of confetti)"
Ice Knife,1st,Conjuration,1 Action,60 ft.,"S, M",Instantaneous,"DEX Save Piercing (...) 1st 1 Action 60 ft. (5 ft.  *) S, M * Instantaneous Conjuration DEX Save Piercing (...) You create a shard of ice and fling it at one creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 Piercing damage. Hit or miss, the shard then explodes. The target and each creature within 5 feet of it must succeed on a Dexterity saving throw or take 2d6 Cold damage. Using a Higher-Level Spell Slot. The Cold damage increases by 1d6 for each spell slot level above 1. * - (a drop of water or a piece of ice)"
Ice Storm,4th,Evocation,1 Action,300 ft.,"V, S, M",Instantaneous,"DEX Save Bludgeoning (...) 4th 1 Action 300 ft. (20 ft.  *) V, S, M * Instantaneous Evocation DEX Save Bludgeoning (...) Hail falls in a 20-foot-radius, 40-foot-high Cylinder centered on a point within range. Each creature in the Cylinder makes a Dexterity saving throw. A creature takes 2d10 Bludgeoning damage and 4d6 Cold damage on a failed save or half as much damage on a successful one. Hailstones turn ground in the Cylinder into Difficult Terrain until the end of your next turn. Using a Higher-Level Spell Slot. The Bludgeoning damage increases by 1d10 for each spell slot level above 4. * - (a mitten)"
Identify,1st,Ritual,"Divination • V, S, M",Instantaneous,,1 Minute,"Detection 1st 1 Minute Ritual Touch V, S, M * Instantaneous Divination None Detection You touch an object throughout the spell’s casting. If the object is a magic item or some other magical object, you learn its properties and how to use them, whether it requires Attunement, and how many charges it has, if any. You learn whether any ongoing spells are affecting the item and what they are. If the item was created by a spell, you learn that spell’s name. If you instead touch a creature throughout the casting, you learn which ongoing spells, if any, are currently affecting it. * - (a pearl worth 100+ GP)"
Illusory Script,1st,Ritual,"Illusion • S, M",10 Days,,1 Minute,"Communication 1st 1 Minute Ritual Touch S, M * 10 Days Illusion None Communication You write on parchment, paper, or another suitable material and imbue it with an illusion that lasts for the duration. To you and any creatures you designate when you cast the spell, the writing appears normal, seems to be written in your hand, and conveys whatever meaning you intended when you wrote the text. To all others, the writing appears as if it were written in an unknown or magical script that is unintelligible. Alternatively, the illusion can alter the meaning, handwriting, and language of the text, though the language must be one you know. If the spell is dispelled, the original script and the illusion both disappear. A creature that has Truesight can read the hidden message. * - (ink worth 10+ GP, which the spell consumes)"
Imprisonment,9th,Abjuration,1 Minute,30 ft.,"V, S, M",Until Dispelled,"Restrained (...) 9th 1 Minute 30 ft. V, S, M * Until Dispelled Abjuration WIS Save Restrained (...) You create a magical restraint to hold a creature that you can see within range. The target must make a Wisdom saving throw. On a successful save, the target is unaffected, and it is immune to this spell for the next 24 hours. On a failed save, the target is imprisoned. While imprisoned, the target doesn’t need to breathe, eat, or drink, and it doesn’t age. Divination spells can’t locate or perceive the imprisoned target, and the target can’t teleport. Until the spell ends, the target is also affected by one of the following effects of your choice: Burial. The target is entombed beneath the earth in a hollow globe of magical force that is just large enough to contain the target. Nothing can pass into or out of the globe. Chaining. Chains firmly rooted in the ground hold the target in place. The target has the Restrained condition and can’t be moved by any means. Hedged Prison. The target is trapped in a demiplane that is warded against teleportation and planar travel. The demiplane is your choice of a labyrinth, a cage, a tower, or the like. Minimus Containment. The target becomes 1 inch tall and is trapped inside an indestructible gemstone or a similar object. Light can pass through the gemstone (allowing the target to see out and other creatures to see in), but nothing else can pass through by any means. Slumber. The target has the Unconscious condition and can’t be awoken. Ending the Spell. When you cast the spell, specify a trigger that will end it. The trigger can be as simple or as elaborate as you choose, but the DM must agree that it has a high likelihood of happening within the next decade. The trigger must be an observable action, such as someone making a particular offering at the temple of your god, saving your true love, or defeating a specific monster. A Dispel Magic spell can end the spell only if it is cast with a level 9 spell slot, targeting either the prison or the component used to create it. * - (a statuette of the target worth 5,000+ GP)"
Incendiary Cloud,8th,Concentration,"Conjuration • V, S",1 Minute,,1 Action,"(20 ft. ) DEX Save Fire 8th 1 Action 150 ft. (20 ft. ) V, S Concentration 1 Minute Conjuration DEX Save Fire A swirling cloud of embers and smoke fills a 20-foot-radius Sphere centered on a point within range. The cloud’s area is Heavily Obscured. It lasts for the duration or until a strong wind (like that created by Gust of Wind) disperses it. When the cloud appears, each creature in it makes a Dexterity saving throw, taking 10d8 Fire damage on a failed save or half as much damage on a successful one. A creature must also make this save when the Sphere moves into its space and when it enters the Sphere or ends its turn there. A creature makes this save only once per turn. The cloud moves 10 feet away from you in a direction you choose at the start of each of your turns."
Inflict Wounds,1st,Necromancy,1 Action,Touch,"V, S",Instantaneous,"Necrotic 1st 1 Action Touch V, S Instantaneous Necromancy CON Save Necrotic A creature you touch makes a Constitution saving throw, taking 2d10 Necrotic damage on a failed save or half as much damage on a successful one. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1."
Insect Plague,5th,Concentration,"Conjuration • V, S, M",10 Minutes,,1 Action,"(20 ft. ) CON Save Piercing 5th 1 Action 300 ft. (20 ft. ) V, S, M * Concentration 10 Minutes Conjuration CON Save Piercing Swarming locusts fill a 20-foot-radius Sphere centered on a point you choose within range. The Sphere remains for the duration, and its area is Lightly Obscured and Difficult Terrain. When the swarm appears, each creature in it makes a Constitution saving throw, taking 4d10 Piercing damage on a failed save or half as much damage on a successful one. A creature also makes this save when it enters the spell’s area for the first time on a turn or ends its turn there. A creature makes this save only once per turn. Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 5. * - (a locust)"
Invisibility,2nd,Concentration,"Illusion • V, S, M",1 Hour,,1 Action,"Invisible 2nd 1 Action Touch V, S, M * Concentration 1 Hour Illusion None Invisible A creature you touch has the Invisible condition until the spell ends. The spell ends early immediately after the target makes an attack roll, deals damage, or casts a spell. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2. * - (an eyelash in gum arabic)"
Jallarzi's Storm of Radiance,5th,Concentration,"Evocation • V, S, M",1 Minute,,1 Action,"(10 ft.  *) CON Save Radiant (...) 5th 1 Action 120 ft. (10 ft.  *) V, S, M * Concentration 1 Minute Evocation CON Save Radiant (...) You unleash a storm of flashing light and raging thunder in a 10-foot-radius, 40-foot-high Cylinder centered on a point you can see within range. While in this area, creatures have the Blinded and Deafened conditions, and they can’t cast spells with a Verbal component. When the storm appears, each creature in it makes a Constitution saving throw, taking 2d10 Radiant damage and 2d10 Thunder damage on a failed save or half as much damage on a successful one. A creature also makes this save when it enters the spell’s area for the first time on a turn or ends its turn there. A creature makes this save only once per turn. Using a Higher-Level Spell Slot. The Radiant and Thunder damage increase by 1d10 for each spell slot level above 5. * - (a pinch of phosphorus)"
Jump,1st,Transmutation,1 Bonus Action,Touch,"V, S, M",1 Minute,"1st 1 Bonus Action Touch V, S, M * 1 Minute Transmutation None Movement You touch a willing creature. Once on each of its turns until the spell ends, that creature can jump up to 30 feet by spending 10 feet of movement. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1. * - (a grasshopper’s hind leg)"
Knock,2nd,Transmutation,1 Action,60 ft.,V,Instantaneous,"2nd 1 Action 60 ft. V Instantaneous Transmutation None Utility Choose an object that you can see within range. The object can be a door, a box, a chest, a set of manacles, a padlock, or another object that contains a mundane or magical means that prevents access. A target that is held shut by a mundane lock or that is stuck or barred becomes unlocked, unstuck, or unbarred. If the object has multiple locks, only one of them is unlocked. If the target is held shut by Arcane Lock, that spell is suppressed for 10 minutes, during which time the target can be opened and closed. When you cast the spell, a loud knock, audible up to 300 feet away, emanates from the target."
Legend Lore,5th,Divination,10 Minutes,Self,"V, S, M",Instantaneous,"5th 10 Minutes Self V, S, M * Instantaneous Divination None Utility Name or describe a famous person, place, or object. The spell brings to your mind a brief summary of the significant lore about that famous thing, as described by the DM. The lore might consist of important details, amusing revelations, or even secret lore that has never been widely known. The more information you already know about the thing, the more precise and detailed the information you receive is. That information is accurate but might be couched in figurative language or poetry, as determined by the DM. If the famous thing you chose isn’t actually famous, you hear sad musical notes played on a trombone, and the spell fails. * - (incense worth 250+ GP, which the spell consumes, and four ivory strips worth 50+ GP each)"
Leomund's Secret Chest,4th,Conjuration,1 Action,Touch,"V, S, M",Until Dispelled,"4th 1 Action Touch V, S, M * Until Dispelled Conjuration None Utility You hide a chest and all its contents on the Ethereal Plane. You must touch the chest and the miniature replica that serve as Material components for the spell. The chest can contain up to 12 cubic feet of nonliving material (3 feet by 2 feet by 2 feet). While the chest remains on the Ethereal Plane, you can take a Magic action and touch the replica to recall the chest. It appears in an unoccupied space on the ground within 5 feet of you. You can send the chest back to the Ethereal Plane by taking a Magic action to touch the chest and the replica. After 60 days, there is a cumulative 5 percent chance at the end of each day that the spell ends. The spell also ends if you cast this spell again or if the Tiny replica chest is destroyed. If the spell ends and the larger chest is on the Ethereal Plane, the chest remains there for you or someone else to find. * - (a chest, 3 feet by 2 feet by 2 feet, constructed from rare materials worth 5,000+ GP, and a Tiny replica of the chest made from the same materials worth 50+ GP)"
Leomund's Tiny Hut,3rd,Ritual,"Evocation • V, S, M",8 Hours,,1 Minute,"(10 ft. ) Utility 3rd 1 Minute Ritual Self (10 ft. ) V, S, M * 8 Hours Evocation None Utility A 10-foot Emanation springs into existence around you and remains stationary for the duration. The spell fails when you cast it if the Emanation isn’t big enough to fully encapsulate all creatures in its area. Creatures and objects within the Emanation when you cast the spell can move through it freely. All other creatures and objects are barred from passing through it. Spells of level 3 or lower can’t be cast through it, and the effects of such spells can’t extend into it. The atmosphere inside the Emanation is comfortable and dry, regardless of the weather outside. Until the spell ends, you can command the interior to have Dim Light or Darkness (no action required). The Emanation is opaque from the outside and of any color you choose, but it’s transparent from the inside. The spell ends early if you leave the Emanation or if you cast it again. * - (a crystal bead)"
Lesser Restoration,2nd,Abjuration,1 Bonus Action,Touch,"V, S",Instantaneous,"2nd 1 Bonus Action Touch V, S Instantaneous Abjuration None Healing You touch a creature and end one condition on it: Blinded, Deafened, Paralyzed, or Poisoned."
Levitate,2nd,Concentration,"Transmutation • V, S, M",10 Minutes,,1 Action,"CON Save Movement 2nd 1 Action 60 ft. V, S, M * Concentration 10 Minutes Transmutation CON Save Movement One creature or loose object of your choice that you can see within range rises vertically up to 20 feet and remains suspended there for the duration. The spell can levitate an object that weighs up to 500 pounds. An unwilling creature that succeeds on a Constitution saving throw is unaffected. The target can move only by pushing or pulling against a fixed object or surface within reach (such as a wall or a ceiling), which allows it to move as if it were climbing. You can change the target’s altitude by up to 20 feet in either direction on your turn. If you are the target, you can move up or down as part of your move. Otherwise, you can take a Magic action to move the target, which must remain within the spell’s range. When the spell ends, the target floats gently to the ground if it is still aloft. * - (a metal spring)"
Light,Cantrip,Evocation,1 Action,Touch,"V, M",1 Hour,"Cantrip 1 Action Touch V, M * 1 Hour Evocation None Creation (...) You touch one Large or smaller object that isn’t being worn or carried by someone else. Until the spell ends, the object sheds Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. The light can be colored as you like. Covering the object with something opaque blocks the light. The spell ends if you cast it again. * - (a firefly or phosphorescent moss)"
Lightning Arrow,3rd,Transmutation,1 Bonus Action *,Self,"V, S",Instantaneous,"Lightning (...) 3rd 1 Bonus Action * Self V, S Instantaneous Transmutation DEX Save Lightning (...) As your attack hits or misses the target, the weapon or ammunition you’re using transforms into a lightning bolt. Instead of taking any damage or other effects from the attack, the target takes 4d8 Lightning damage on a hit or half as much damage on a miss. Each creature within 10 feet of the target then makes a Dexterity saving throw, taking 2d8 Lightning damage on a failed save or half as much damage on a successful one. The weapon or ammunition then returns to its normal form. Using a Higher-Level Spell Slot. The damage for both effects of the spell increases by 1d8 for each spell slot level above 3. * - which you take immediately after hitting or missing a target with a ranged attack using a weapon"
