name,level,school,casting_time,range,components,duration,description
Guards and Wards,6th,Abjuration,1 hour,Touch,"V, S, M (a silv er rod wor th 10+ GP)",24 hours,"You cr eate a war d that pr otects up to 2,500 squar e feet of floor space. The war ded area can be up to 20 feet tall, and you shape it as one 50-foot squar e, one hundr ed 5-foot squar es that are contiguous, or twenty-fiv e 10-foot squar es that are contiguous. When you cast this spell, you can specify individuals that are unaff ected by the spell’ s effects. you can also specify a passwor d that, when spok en aloud within 5 feet of the war ded area, mak es the speak er immune to its effects. The spell creates the effects below within the war ded area. Dispel Magic has no effect on Guar ds and W ards itself, but each of the following effects can be dispelled. If all four are dispelled, Guar ds and W ards ends. If you cast the spell every day for 365 da ys on the same area, the spell ther eafter lasts until all its effects are dispelled. Corridors. Fog fills all the war ded corridors, making them Heavily Obscur ed. In addition, at each intersection or branching passage off ering a choice of dir ection, there is a 50 per cent chance that a creature other than you belie ves it is going in the opposite dir ection from the one it chooses. Doors. All doors in the war ded area are magically lock ed, as if sealed by the Arcane Lock spell. In addition, you can cover up to ten doors with an illusion to make them appear as plain sections of wall. Stairs. Webs fill all stairs in the war ded area from t op to bott om, as in the Web spell. These str ands r egrow in 10 minutes if they are destr oyed while Guar ds and W ards lasts. Other Spell Effect. Place one of the following magical effects within the war ded area: Dancing Lights in four corridors, with a simple pr ogram that the lights r epeat as long as Guar ds and W ards lasts Magic Mouth in two locations Stinking Cloud in two locations (the v apors r eturn within 10 minutes if dispersed while Guar ds and W ards lasts) Gust of Wind in one corridor or r oom (the wind blows continuously while the spell lasts) Suggestion in one 5-foot squar e; any creature that enters that squar e receiv es the suggestion mentally"
Guidance,Cantrip,Divination,Action,Touch,,,"Component: V, S You touch a willing creature and choose a skill. Until the spell ends, the creature adds 1d4 to any ability check using the chosen skill."
Guiding Bolt,1st,Evocation,Action,120 feet,"V, S",1 round,"You hurl a bolt of light toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 4d6 Radiant damage, and the next attack roll made against it before the end of your next turn has Advantage . Using a Higher-Le vel Spell Slot. The damage incr eases by 1d6 for each spell slot le vel abo ve 1."
Gust of Wind,2nd,Evocation,Action,Self,"V, S, M (a legume seed)","Concentration , up to 1 minute","A Line of str ong wind 60 feet long and 10 feet wide blasts from you in a dir ection you choose for the dur ation. Each creature in the Line must succeed on a Strength saving throw or be pushed 15 feet awa y from you in a dir ection following the Line. A creature that ends its turn in the Line must make the same sa ve. Any creature in the Line must spend 2 feet of movement for e very 1 foot it mo ves when mo ving closer to you. The gust disperses gas or v apor , and it extinguishes candles and similar unpr otected flames in the area. It causes protected flames, such as those of lanterns, to dance wildly and has a 50 per cent chance to extinguish them. As a Bonus Action on your later turns, you can change the dir ection in which the Line blasts from you. Spells (H)"
Hail of Thorns,1st,Conjuration,"Bonus Action, which you take immediately after hitting a creature with a Ranged weapon",Self,V,Instantaneous,"As you hit the creature, this spell cr eates a r ain of thorns that spr outs from your Ranged weapon or ammunition. The target of the attack and each creature within 5 feet of it make a Dexterity saving throw, taking 1d10 Pier cing damage on a failed sa ve or half as much damage on a successful one. Using a Higher-Le vel Spell Slot. The damage incr eases by 1d10 for each spell slot le vel abo ve 1."
Hallow,5th,Abjuration,24 hours,Touch,"V, S, M (incense wor th 1,000+ GP , which the spell consumes)",Until dispelled,"You touch a point and infuse an area ar ound it with holy or unholy power . The area can have a r adius up to 60 feet, and the spell fails if the r adius includes an area alr eady under the effect of Hallow . The affected area has the following effects. Hallowed W ard. Choose any of these creature types: Aberr ation, Celestial, Elemental, F ey, Fiend, or Undead. creatures of the chosen types can ’t willingly enter the area, and any creature that is possessed by or that has the Charmed or Frightened condition from such creatures isn ’t possessed, Charmed, or Frightened by them while in the area. Extra Effect. You bind an extr a effect to the area from the list below: Cour age. Creatures of any types you choose can ’t gain the Frightened condition while in the area. Darkness. Darkness fills the area. Normal light, as well as magical light created by spells of a le vel lower than this spell, can’t illuminate the area. Daylight. Bright light fills the area. Magical Darkness cr eated by spells of a le vel lower than this spell can ’t extinguish the light. Peaceful Rest. Dead bodies interr ed in the area can ’t be turned into Undead. Extradimensional Inter ference. Creatures of any types you choose can ’t enter or exit the area using telepor tation or interplanar tr avel. Fear. Creatures of any types you choose have the Frightened condition while in the area. Resistance. Creatures of any types you choose have Resistance to one damage type of your choice while in the area. Silence. No sound can emanate from within the area, and no sound can r each into it. Tongues. Creatures of any types you choose can communicate with any other creature in the area even if they don ’t shar e a common language. Vulner ability . Creatures of any types you choose have Vulner ability to one damage type of your choice while in the area."
Hallucinatory Terrain,4th,Illusion,10 minutes,300 feet,"V, S, M (a mushr oom)",24 hours,"You make natur al terrain in a 150-foot Cube in range look, sound, and smell lik e another sor t of natur al terrain. Thus, open fields or a r oad can be made to resemble a swamp, hill, cr evasse, or some other diﬃcult or impassable terrain. A pond can be made to seem lik e a gr assy meadow , a pr ecipice lik e a gentle slope, or a r ock-str ewn gully lik e a wide and smooth r oad. Manufactur ed structur es, equipment, and creatures within the area ar en’t changed. The tactile char acteristics of the terrain are unchanged, so creatures entering the area are likely to notice the illusion. If the diff erence isn ’t ob vious by touch, a creature examining the illusion can take the Study action to make an Intelligence (Investigation ) check against your spell sa ve DC to disbelie ve it. If a creature discerns that the terrain is illusor y, the creature sees a v ague image superimposed on the r eal terr ain."
Harm,6th,Necromancy,Action,60 feet,"V, S",Instantaneous,"You unleash virulent magic on a creature you can see within range. The tar get mak es a Constitution saving throw. On a failed sa ve, it takes 14d6 Necr otic damage, and its Hit Point maximum is r educed by an amount equal to the Necr otic damage it t ook. On a successful sa ve, it takes half as much damage only . This spell can ’t reduce a target’s Hit Point maximum below 1."
Haste,3rd,Transmutation,Action,30 feet,"V, S, M (a sha ving of licorice r oot)","Concentration , up to 1 minute","Choose a willing creature that you can see within range. Until the spell ends, the target’s Speed is doubled, it gains a +2 bonus to Armor Class, it has Advantage on Dexterity saving throws, and it gains an additional action on each of its turns. That action can be used to take only the Attack (one attack only), Dash , Disengage , Hide , or Utiliz e action. When the spell ends, the target is Incapacitated and has a Speed of 0 until the end of its next turn, as a wa ve of lethar gy washes over it."
Heal,6th,Abjuration,Action,60 feet,"V, S",Instantaneous,"Choose a creature that you can see within range. P ositiv e energy washes through the target, r estoring 70 Hit Points. This spell also ends the Blinded , Deaf ened , and Poisoned conditions on the target. Using a Higher-Le vel Spell Slot. The healing incr eases by 10 for each spell slot le vel abo ve 6."
Healing Word,1st,Abjuration,Bonus Action,60 feet,V,Instantaneous,A creature of your choice that you can see within range r egains Hit Points equal to 2d4 plus your spellcasting ability modifier . Using a Higher-Le vel Spell Slot. The healing incr eases by 2d4 for each spell slot le vel abo ve 1.
Heat Metal,2nd,Transmutation,Action,60 feet,"V, S, M (a piece of ir on and a flame)","Concentration , up to 1 minute","Choose a manufactur ed metal object, such as a metal weapon or a suit of Heavy or Medium metal armor , that you can see within range. you cause the object to glow r ed-hot. Any creature in physical contact with the object takes 2d8 Fir e damage when you cast the spell. Until the spell ends, you can take a Bonus Action on each of your later turns to deal this damage again if the object is within range. If a creature is holding or wearing the object and takes the damage from it, the creature must succeed on a Constitution saving throw or dr op the object if it can. If it doesn ’t drop the object, it has Disadvantage on attack rolls and ability checks until the star t of your next turn. Using a Higher-Le vel Spell Slot. The damage incr eases by 1d8 for each spell slot le vel abo ve 2."
Hellish Rebuke,1st,Evocation,"Reaction, which you take in r esponse to taking damage from a creature that you can see within 60 feet of",,,,"yourself The creature that damaged you is momentarily surr ounded by green flames. It mak es a Dexterity saving throw, taking 2d10 Fir e damage on a failed sa ve or half as much damage on a successful one. Using a Higher-Le vel Spell Slot. The damage incr eases by 1d10 for each spell slot le vel abo ve 1."
Heroes' Feast,6th,Conjuration,10 minutes,Self,"V, S, M (a gem-encrusted bowl wor th 1,000+ GP , which the spell consumes)",Instantaneous,"You conjur e a f east that appears on a sur face in an unoccupied 10-foot Cube next to you. The f east takes 1 hour to consume and disappears at the end of that time, and the beneficial effects don ’t set in until this hour is over. Up to twelv e creatures can par take of the f east. A creature that par takes gains se veral benefits, which last for 24 hours. The creature has Resistance to Poison damage, and it has Immunity to the Frightened and Poisoned conditions. Its Hit Point maximum also incr eases by 2d10, and it gains the same number of Hit Points."
Heroism,1st,Enchantment,Action,Touch,"V, S","Concentration , up to 1 minute","A willing creature you touch is imbued with br avery. Until the spell ends, the creature is immune to the Frightened condition and gains Temporary Hit Points equal to your spellcasting ability modifier at the star t of each of its turns. Using a Higher-Le vel Spell Slot. You can target one additional creature for each spell slot le vel abo ve 1."
Hex,1st,Enchantment,Bonus Action,90 feet,"V, S, M (the petrified e ye of a newt)","Concentration , up to 1 hour","You place a curse on a creature that you can see within range. Until the spell ends, you deal an extr a 1d6 Necr otic damage to the target whene ver you hit it with an attack roll. Also, choose one ability when you cast the spell. The tar get has Disadvantage on ability checks made with the chosen ability . If the target dr ops to 0 Hit Points before this spell ends, you can take a Bonus Action on a later turn to curse a new creature. Using a Higher-Le vel Spell Slot. Your Concentration can last longer with a spell slot of le vel 2 (up to 4 hours), 3–4 (up to 8 hours), or 5+ (24 hours)."
Hold Monster,5th,Enchantment,Action,90 feet,"V, S, M (a straight piece of ir on)","Concentration , up to 1 minute","Choose a creature that you can see within range. The tar get must succeed on a Wisdom sa ving throw or have the P ar alyz ed condition for the dur ation. A t the end of each of its turns, the target r epeats the sa ve, ending the spell on itself on a success. Using a Higher-Le vel Spell Slot. You can target one additional creature for each spell slot le vel abo ve 5."
Hold Person,2nd,Enchantment,Action,60 feet,"V, S, M (a straight piece of ir on)","Concentration , up to 1 minute","Choose a Humanoid that you can see within range. The tar get must succeed on a Wisdom sa ving throw or have the P ar alyz ed condition for the dur ation. A t the end of each of its turns, the target r epeats the sa ve, ending the spell on itself on a success. Using a Higher-Le vel Spell Slot. You can target one additional Humanoid for each spell slot le vel abo ve 2."
Holy Aura,8th,Abjuration,Action,Self,"V, S, M (a r eliquar y wor th 1,000+ GP)","Concentration , up to 1 minute","For the dur ation, you emit an aur a in a 30-foot Emanation . While in the aur a, creatures of your choice have Advantage on all saving throws, and other creatures have Disadvantage on attack rolls against them. In addition, when a Fiend or an Undead hits an affected creature with a melee attack roll, the attack er must succeed on a Constitution saving throw or have the Blinded condition until the end of its next turn."
Hunger of Hadar,3rd,Conjuration,Action,150 feet,"V, S, M (a pickled tentacle)","Concentration , up to 1 minute","You open a gatewa y to the F ar Realm, a r egion inf ested with unspeakable horr ors. A 20-foot-r adius Sphere of Darkness appears, center ed on a point with range and lasting for the dur ation. The Sphere is Diﬃcult Terrain, and it is filled with strange whispers and slurping noises, which can be hear d up to 30 feet awa y. No light, magical or other wise, can illuminate the area, and creatures fully within it have the Blinded condition. Any creature that star ts its turn in the area takes 2d6 Cold damage. Any creature that ends its turn there must succeed on a Dexterity saving throw or take 2d6 Acid damage from other worldly tentacles. Using a Higher-Le vel Spell Slot. The Cold or Acid damage (your choice) incr eases by 1d6 for each spell slot le vel abo ve 3."
Hunter's Mark,1st,Divination,Bonus Action,90 feet,V,"Concentration , up to 1 hour","You magically mark one creature you can see within range as your quarr y. Until the spell ends, you deal an extr a 1d6 Force damage to the target whene ver you hit it with an attack roll. you also have Advantage on any Wisdom ( Perception or Survival) check you make to find it. If the target dr ops to 0 Hit Points before this spell ends, you can take a Bonus Action to mo ve the mark to a new creature you can see within range. Using a Higher-Le vel Spell Slot. Your Concentration can last longer with a spell slot of le vel 3–4 (up to 8 hours) or 5+ (up to 24 hours)."
Hypnotic Pattern,3rd,Illusion,Action,120 feet,"S, M (a pinch of conf etti)","Concentration , up to 1 minute","You cr eate a twisting pattern of colors in a 30-foot Cube within range. The pattern appears for a moment and v anishes. Each creature in the area who can see the pattern must succeed on a Wisdom sa ving throw or have the Charmed condition for the dur ation. While Charmed, the creature has the Incapacitated condition and a Speed of 0. The spell ends for an affected creature if it takes any damage or if someone else uses an action to shak e the creature out of its stupor . Spells (I)"
Ice Knife,1st,Conjuration,Action,60 feet,"S, M (a dr op of water or a piece of ice)",Instantaneous,"You cr eate a shar d of ice and fling it at one creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 Pier cing damage. Hit or miss, the shar d then explodes. The target and each creature within 5 feet of it must succeed on a Dexterity saving throw or take 2d6 Cold damage. Using a Higher-Le vel Spell Slot. The Cold damage incr eases by 1d6 for each spell slot le vel abo ve 1."
Ice Storm,4th,Evocation,Action,300 feet,"V, S, M (a mitten)",Instantaneous,"Hail falls in a 20-foot-r adius, 40-foot-high Cylinder center ed on a point within range. Each creature in the Cylinder mak es a Dexterity saving throw. A creature takes 2d10 Bludgeoning damage and 4d6 Cold damage on a failed sa ve or half as much damage on a successful one. Hailst ones turn gr ound in the Cylinder into Diﬃcult Terrain until the end of your next turn. Using a Higher-Le vel Spell Slot. The Bludgeoning damage incr eases by 1d10 for each spell slot le vel abo ve 4."
Identify,1st,Divination,1 minute or Ritual,Touch,"V, S, M (a pearl wor th 100+ GP)",Instantaneous,"You touch an object thr oughout the spell’ s casting. If the object is a magic item or some other magical object, you learn its pr oper ties and how to use them, whether it r equir es Attunement , and how many char ges it has, if any . You learn whether any ongoing spells are aff ecting the item and what they are. If the item was created by a spell, you learn that spell’ s name. If you instead t ouch a creature thr oughout the casting, you learn which ongoing spells, if any , are curr ently aff ecting it."
Illusory Script,1st,Illusion,1 minute or Ritual,Touch,"S, M (ink wor th 10+ GP , which the spell consumes)",10 da ys,"You write on par chment, paper , or another suitable material and imbue it with an illusion that lasts for the dur ation. To you and any creatures you designate when you cast the spell, the writing appears normal, seems to be written in your hand, and conv eys whate ver meaning you intended when you wr ote the text. To all others, the writing appears as if it were written in an unknown or magical script that is unintelligible. Alternativ ely, the illusion can alter the meaning, handwriting, and language of the text, though the language must be one you know . If the spell is dispelled, the original script and the illusion both disappear . A creature that has T ruesight can r ead the hidden message."
Imprisonment,9th,Abjuration,1 minute,30 feet,"V, S, M (a statuette of the target wor th 5,000+ GP)",Until dispelled,"You cr eate a magical r estraint to hold a creature that you can see within range. The tar get must make a Wisdom sa ving throw. On a successful sa ve, the target is unaff ected, and it is immune to this spell for the next 24 hours. On a failed save, the target is imprisoned. While imprisoned, the target doesn ’t need to breathe, eat, or drink, and it doesn ’t age. Divination spells can ’t locate or per ceive the imprisoned target, and the target can ’t telepor t. Until the spell ends, the target is also affected by one of the following effects of your choice: Burial. The tar get is ent ombed beneath the ear th in a hollow globe of magical for ce that is just lar ge enough to contain the target. Nothing can pass into or out of the globe. Chaining. Chains firmly r ooted in the gr ound hold the target in place. The tar get has the Restrained condition and can ’t be mo ved by any means. Hedged Prison. The tar get is tr apped in a demiplane that is war ded against telepor tation and planar tr avel. The demiplane is your choice of a lab yrinth, a cage, a t ower , or the lik e. Minimus Containment. The tar get becomes 1 inch tall and is tr apped inside an indestructible gemst one or a similar object. Light can pass through the gemst one (allowing the target to see out and other creatures to see in), but nothing else can pass through by any means. Slumber . The tar get has the Unconscious condition and can ’t be awok en. Ending the Spell. When you cast the spell, specify a trigger that will end it. The trigger can be as simple or as elabor ate as you choose, but the DM must agr ee that it has a high lik elihood of happening within the next decade. The trigger must be an obser vable action, such as someone making a par ticular off ering at the temple of your god, saving your true love, or def eating a specific monster . A Dispel Magic spell can end the spell only if it is cast with a le vel 9 spell slot, tar geting either the prison or the component used to create it."
Incendiary Cloud,8th,Conjuration,Action,150 feet,"V, S","Concentration , up to 1 minute","A swirling cloud of embers and smok e fills a 20-foot-r adius Sphere center ed on a point within range. The cloud’ s area is Heavily Obscur ed. It lasts for the dur ation or until a str ong wind (lik e that created by Gust of Wind ) disperses it. When the cloud appears, each creature in it mak es a Dexterity saving throw, taking 10d8 Fir e damage on a failed sa ve or half as much damage on a successful one. A creature must also make this sa ve when the Sphere moves into its space and when it enters the Sphere or ends its turn there. A creature mak es this sa ve only once per turn. The cloud mo ves 10 feet awa y from you in a dir ection you choose at the star t of each of your turns."
Inflict Wounds,1st,Necromancy,Action,Touch,"V, S",Instantaneous,"A creature you touch mak es a Constitution saving throw, taking 2d10 Necr otic damage on a failed sa ve or half as much damage on a successful one. Using a Higher-Le vel Spell Slot. The damage incr eases by 1d10 for each spell slot le vel abo ve 1."
Insect Plague,5th,Conjuration,Action,300 feet,"V, S, M (a locust)","Concentration , up to 10 minutes","Swarming locusts fill a 20-foot-r adius Sphere center ed on a point you choose within range. The Sphere remains for the duration, and its area is Lightly Obscur ed and Diﬃcult Terrain. When the swarm appears, each creature in it mak es a Constitution saving throw, taking 4d10 Pier cing damage on a failed sa ve or half as much damage on a successful one. A creature also mak es this sa ve when it enters the spell’ s area for the first time on a turn or ends its turn there. A creature mak es this sa ve only once per turn. Using a Higher-Le vel Spell Slot. The damage incr eases by 1d10 for each spell slot le vel abo ve 5."
Invisibility,2nd,Illusion,Action,Touch,"V, S, M (an e yelash in gum ar abic)","Concentration , up to 1 hour","A creature you touch has the Invisible condition until the spell ends. The spell ends early immediately after the target mak es an attack roll, deals damage, or casts a spell. Using a Higher-Le vel Spell Slot. You can target one additional creature for each spell slot le vel abo ve 2. Spells (J)"
Jallarzi's Storm of Radiance,5th,Evocation,Action,120 feet,,,"Component: V, S, M (a pinch of phosphorus) You unleash a st orm of flashing light and r aging thunder in a 10-foot-r adius, 40-foot-high Cylinder center ed on a point you can see within range. While in this area, creatures have the Blinded and Deaf ened conditions, and they can ’t cast spells with a Verbal component. When the st orm appears, each creature in it mak es a Constitution saving throw, taking 2d10 Radiant damage and 2d10 Thunder damage on a failed sa ve or half as much damage on a successful one. A creature also mak es this sa ve when it enters the spell’ s area for the first time on a turn or ends its turn there. A creature mak es this sa ve only once per turn. Using a Higher-Le vel Spell Slot. The Radiant and Thunder damage incr ease by 1d10 for each spell slot le vel abo ve 5."
Jump,1st,Transmutation,Bonus Action,Touch,,,"Component: V, S, M (a gr asshopper ’s hind leg) You touch a willing creature. Once on each of its turns until the spell ends, that creature can jump up to 30 feet by spending 10 feet of movement. Using a Higher-Le vel Spell Slot. You can target one additional creature for each spell slot le vel abo ve 1. Spells (K)"
Knock,2nd,Transmutation,Action,60 feet,V,Instantaneous,"Choose an object that you can see within range. The object can be a door , a bo x, a chest, a set of manacles, a padlock, or another object that contains a mundane or magical means that pr events access. A target that is held shut by a mundane lock or that is stuck or barr ed becomes unlock ed, unstuck, or unbarr ed. If the object has multiple locks, only one of them is unlock ed. If the target is held shut by Arcane Lock , that spell is suppr essed for 10 minutes, during which time the target can be opened and closed. When you cast the spell, a loud knock, audible up to 300 feet awa y, emanates from the target. Spells (L)"
Legend Lore,5th,Divination,10 minutes,Self,"V, S, M (incense wor th 250+ GP , which the spell consumes, and four iv ory strips wor th 50+ GP each)",Instantaneous,"Name or describe a famous person, place, or object. The spell brings to your mind a brief summar y of the significant lore about that famous thing, as described by the DM. The lor e might consist of impor tant details, amusing r evelations, or e ven secr et lor e that has ne ver been widely known. The more information you alr eady know about the thing, the more precise and detailed the information you receiv e is. That information is accur ate but might be couched in figur ative language or poetr y, as determined by the DM. If the famous thing you chose isn ’t actually famous, you hear sad musical notes pla yed on a tr ombone, and the spell fails."
Leomund's Secret Chest,4th,Conjuration,Action,Touch,"V, S, M (a chest, 3 feet by 2 feet by 2 feet, constructed from r are materials wor th 5,000+ GP , and a Tiny",,"replica of the chest made from the same materials wor th 50+ GP) You hide a chest and all its contents on the Ethereal Plane. you must t ouch the chest and the miniatur e replica that serve as Material components for the spell. The chest can contain up to 12 cubic feet of nonliving material (3 feet by 2 feet by 2 feet). While the chest r emains on the Ethereal Plane, you can take a Magic action and t ouch the r eplica to recall the chest. It appears in an unoccupied space on the gr ound within 5 feet of you. you can send the chest back to the Ethereal Plane by taking a Magic action to touch the chest and the r eplica. After 60 da ys, there is a cumulativ e 5 per cent chance at the end of each da y that the spell ends. The spell also ends if you cast this spell again or if the Tiny r eplica chest is destr oyed. If the spell ends and the lar ger chest is on the Ethereal Plane, the chest r emains there for you or someone else to find."
Leomund's Tiny Hut,3rd,Evocation,1 minute or Ritual,Self,"V, S, M (a cr ystal bead)",8 hours,"A 10-foot Emanation springs into existence ar ound you and r emains stationar y for the dur ation. The spell fails when you cast it if the Emanation isn ’t big enough to fully encapsulate all creatures in its area. Creatures and objects within the Emanation when you cast the spell can mo ve through it fr eely. All other creatures and objects are barr ed from passing through it. Spells of le vel 3 or lower can ’t be cast through it, and the effects of such spells can ’t extend into it. The atmospher e inside the Emanation is comfor table and dr y, regar dless of the weather outside. Until the spell ends, you can command the interior to have Dim Light or Darkness (no action r equir ed). The Emanation is opaque from the outside and of any color you choose, but it’ s transpar ent from the inside. The spell ends early if you lea ve the Emanation or if you cast it again."
Lesser Restoration,2nd,Abjuration,Bonus Action,Touch,"V, S",Instantaneous,"You touch a creature and end one condition on it: Blinded , Deaf ened , Paralyzed, or Poisoned ."
Levitate,2nd,Transmutation,Action,60 feet,"V, S, M (a metal spring)","Concentration , up to 10 minutes","One creature or loose object of your choice that you can see within range rises v ertically up to 20 feet and r emains suspended there for the dur ation. The spell can le vitate an object that weighs up to 500 pounds. An unwilling creature that succeeds on a Constitution saving throw is unaff ected. The tar get can mo ve only by pushing or pulling against a fix ed object or sur face within r each (such as a wall or a ceiling), which allows it to mo ve as if it wer e climbing. you can change the target’s altitude by up to 20 feet in either direction on your turn. If you are the target, you can mo ve up or down as par t of your mo ve. Other wise, you can take a Magic action to mo ve the target, which must r emain within the spell’ s range. When the spell ends, the target floats gently to the gr ound if it is still aloft."
Light,Cantrip,Evocation,Action,Touch,"V, M (a fir efly or phosphor escent moss)",1 hour,"You touch one Lar ge or smaller object that isn ’t being worn or carried by someone else. Until the spell ends, the object sheds Bright Light in a 20-foot r adius and Dim Light for an additional 20 feet. The light can be color ed as you lik e. Covering the object with something opaque blocks the light. The spell ends if you cast it again."
Lightning Arrow,3rd,Transmutation,"Bonus Action, which you take immediately after hitting or missing a target with a ranged attack using a",,,,"weapon As your attack hits or misses the target, the weapon or ammunition you’re using tr ansforms into a lightning bolt. Instead of taking any damage or other effects from the attack, the target takes 4d8 Lightning damage on a hit or half as much damage on a miss. Each creature within 10 feet of the target then mak es a Dexterity saving throw, taking 2d8 Lightning damage on a failed sa ve or half as much damage on a successful one. The weapon or ammunition then r eturns to its normal form. Using a Higher-Le vel Spell Slot. The damage for both effects of the spell incr eases by 1d8 for each spell slot le vel above 3."
Lightning Bolt,3rd,Evocation,Action,Self,"V, S, M (a bit of fur and a cr ystal r od)",Instantaneous,"A str oke of lightning forming a 100-foot-long, 5-foot-wide Line blasts out from you in a dir ection you choose. Each creature in the Line mak es a Dexterity saving throw, taking 8d6 Lightning damage on a failed sa ve or half as much damage on a successful one. Using a Higher-Le vel Spell Slot. The damage incr eases by 1d6 for each spell slot le vel abo ve 3."
Locate Animals or Plants,2nd,Divination,Action or Ritual,Self,"V, S, M (fur from a bloodhound)",Instantaneous,"Describe or name a specific kind of Beast, Plant creature, or nonmagical plant. you learn the dir ection and distance to the closest creature or plant of that kind within 5 miles, if any are present."
Locate Creature,4th,Divination,Action,Self,"V, S, M (fur from a bloodhound)","Concentration , up to 1 hour","Describe or name a creature that is familiar to you. you sense the dir ection to the creature’s location if that creature is within 1,000 feet of you. If the creature is mo ving, you know the dir ection of its mo vement. The spell can locate a specific creature known to you or the near est creature of a specific kind (such as a human or a unicorn) if you have seen such a creature up close—within 30 feet—at least once. If the creature you described or named is in a diff erent form, such as under the effects of a Flesh to Stone or Polymorph spell, this spell doesn ’t locate the creature. This spell can ’t locate a creature if any thickness of lead blocks a dir ect path between you and the creature."
Locate Object,2nd,Divination,Action,Self,"V, S, M (a fork ed twig)","Concentration , up to 10 minutes","Describe or name an object that is familiar to you. you sense the dir ection to the object’ s location if that object is within 1,000 feet of you. If the object is in motion, you know the dir ection of its mo vement. The spell can locate a specific object known to you if you have seen it up close—within 30 feet—at least once. Alternativ ely, the spell can locate the near est object of a par ticular kind, such as a cer tain kind of appar el, jewelr y, furnitur e, tool, or weapon. This spell can ’t locate an object if any thickness of lead blocks a dir ect path between you and the object."
Longstrider,1st,Transmutation,Action,Touch,"V, S, M (a pinch of dir t)",1 hour,You touch a creature. The tar get’s Speed incr eases by 10 feet until the spell ends. Using a Higher-Le vel Spell Slot. You can target one additional creature for each spell slot le vel abo ve 1. Spells (M)
Mage Armor,1st,Abjuration,Action,Touch,"V, S, M (a piece of cur ed leather)",8 hours,"You touch a willing creature who isn ’t wearing armor . Until the spell ends, the target’s base A C becomes 13 plus its Dexterity modifier . The spell ends early if the target dons armor ."
Mage Hand,Cantrip,Conjuration,Action,30 feet,"V, S",1 minute,"A spectr al, floating hand appears at a point you choose within range. The hand lasts for the dur ation. The hand v anishes if it is e ver more than 30 feet awa y from you or if you cast this spell again. When you cast the spell, you can use the hand to manipulate an object, open an unlock ed door or container , stow or retrie ve an item from an open container , or pour the contents out of a vial. As a Magic action on your later turns, you can contr ol the hand thus again. As par t of that action, you can mo ve the hand up to 30 feet. The hand can ’t attack, activ ate magic items, or carr y more than 10 pounds."
Magic Circle,3rd,Abjuration,1 minute,10 feet,"V, S, M (salt and powder ed silv er wor th 100+ GP , which the spell consumes)",1 hour,"You cr eate a 10-foot-r adius, 20-foot-tall Cylinder of magical energy center ed on a point on the gr ound that you can see within range. Glowing runes appear wher ever the Cylinder intersects with the floor or other sur face. Choose one or more of the following types of creatures: Celestials, Elementals, F ey, Fiends, or Undead. The cir cle aff ects a creature of the chosen type in the following wa ys: The creature can ’t willingly enter the Cylinder by nonmagical means. If the creature tries to use telepor tation or interplanar tr avel to do so, it must first succeed on a Charisma sa ving throw. The creature has Disadvantage on attack rolls against targets within the Cylinder . Targets within the Cylinder can ’t be possessed by or gain the Charmed or Frightened condition from the creature. Each time you cast this spell, you can cause its magic to oper ate in the r everse dir ection, pr eventing a creature of the specified type from lea ving the Cylinder and pr otecting targets outside it. Using a Higher-Le vel Spell Slot. The dur ation incr eases by 1 hour for each spell slot le vel abo ve 3."
Magic Jar,6th,Necromancy,1 minute,Self,"V, S, M (a gem, cr ystal, or r eliquar y wor th 500+ GP)",Until dispelled,"Your body falls into a catat onic state as your soul lea ves it and enters the container you used for the spell’ s Material component. While your soul inhabits the container , you are awar e of your surr oundings as if you wer e in the container ’s space. you can ’t mo ve or take Reactions. The only action you can take is to project your soul up to 100 feet out of the container , either r eturning to your living body (and ending the spell) or attempting to possess a Humanoid’ s body . You can attempt to possess any Humanoid within 100 feet of you that you can see (creatures war ded by a Protection from Evil and Good or Magic Cir cle spell can ’t be possessed ). The tar get mak es a Charisma sa ving throw. On a failed save, your soul enters the target’s body , and the target’s soul becomes tr apped in the container . On a successful sa ve, the target r esists your effor ts to possess it, and you can ’t attempt to possess it again for 24 hours. Once you possess a creature’s body , you contr ol it. your Hit Points, Hit Point Dice, Strength, Dexterity , Constitution, Speed, and senses are replaced by the creature’s. You other wise k eep your game statistics. Meanwhile, the possessed creature’s soul can per ceive from the container using its own senses, but it can ’t mo ve and it is Incapacitated . While possessing a body , you can take a Magic action to return from the host body to the container if it is within 100 feet of you, r eturning the host creature’s soul to its body . If the host body dies while you’re in it, the creature dies, and you make a Charisma sa ving throw against your own spellcasting DC. On a success, you return to the container if it is within 100 feet of you. Other wise, you die. If the container is destr oyed or the spell ends, your soul r eturns to your body . If your body is more than 100 feet awa y from you or if your body is dead, you die. If another creature’s soul is in the container when it is destr oyed, the creature’s soul r eturns to its body if the body is aliv e and within 100 feet. Other wise, that creature dies. When the spell ends, the container is destr oyed."
